"","Salary","Born","City","Cntry","Nat","Ht","Wt","DftYr","DftRd","Ovrl","Hand","Last.Name","First.Name","Position","Team","GP","G","A","A1","A2","PTS","Nat_Group"
"1",925000,"97-01-30","Sainte-Marie","CAN","CAN",74,190,2015,1,18,"L","Chabot","Thomas","D","OTT",1,0,0,0,0,0,"CAN"
"2",2250000,"93-12-21","Ottawa","CAN","CAN",74,207,2012,1,15,"R","Ceci","Cody","D","OTT",79,2,15,6,9,17,"CAN"
"3",8e+06,"88-04-16","St. Paul","USA","USA",72,218,2006,1,7,"R","Okposo","Kyle","RW","BUF",65,19,26,13,13,45,"USA"
"4",3500000,"92-01-07","Ottawa","CAN","CAN",77,220,2010,1,3,"R","Gudbranson","Erik","D","VAN",30,1,5,5,0,6,"CAN"
"5",1750000,"94-03-29","Toronto","CAN","CAN",76,217,2012,1,16,"R","Wilson","Tom","RW","WSH",82,7,12,4,8,19,"CAN"
"6",1500000,"79-05-23","Strathroy","CAN","CAN",70,192,1997,6,156,"L","Campbell","Brian","D","CHI",80,5,12,6,6,17,"CAN"
"7",950000,"90-11-21","Stockholm","SWE","SWE",71,185,2009,2,53,"L","Rodin","Anton","RW","VAN",3,0,1,0,1,1,"Others"
"9",1250000,"92-06-14","Scarborough","CAN","CAN",72,214,2010,2,42,"R","Smith-Pelly","Devante","RW/C/LW","N.J",53,4,5,2,3,9,"CAN"
"10",925000,"93-04-27","Petawawa","CAN","CAN",68,178,2011,7,201,"L","Peca","Matthew","C","T.B",10,1,1,1,0,2,"CAN"
"12",6e+05,"92-04-09","Ile Bizard","CAN","CAN",74,204,2010,3,89,"L","Chaput","Michael","C","VAN",68,4,5,2,3,9,"CAN"
"13",1e+06,"88-03-17","Brandon","CAN","CAN",72,200,2006,3,66,"R","White","Ryan","C","ARI/MIN",65,9,7,4,3,16,"CAN"
"14",925000,"96-06-20","Holland Landing","CAN","CAN",73,186,2014,1,4,"L","Bennett","Sam","C","CGY",81,13,13,7,6,26,"CAN"
"15",950000,"89-04-20","Red Deer","CAN","CAN",72,195,2007,4,112,"R","Sceviour","Colton","C/RW","FLA",80,9,15,9,6,24,"CAN"
"16",680000,"94-01-06","Edmonton","CAN","CAN",74,187,2012,4,105,"L","Kulak","Brett","D","CGY",21,0,3,2,1,3,"CAN"
"17",590000,"92-04-24","Oakville","CAN","CAN",71,183,2011,7,209,"L","Wilson","Scott","LW/C","PIT",78,8,18,11,7,26,"CAN"
"18",650000,"91-05-13","St. Catharines","CAN","CAN",74,203,2009,3,70,"R","Beck","Taylor","LW","EDM/NYR",5,0,0,0,0,0,"CAN"
"19",2250000,"86-04-28","Ostrava","CZE","CZE",74,235,2004,6,180,"R","Polak","Roman","D","TOR",75,4,7,2,5,11,"Others"
"20",6e+05,"90-10-08","Faribault","USA","USA",76,210,2009,4,114,"L","Helgeson","Seth","D","N.J",9,1,0,0,0,1,"USA"
"21",5e+06,"94-03-09","Vancouver","CAN","CAN",73,215,2012,1,5,"L","Rielly","Morgan","D","TOR",76,6,21,14,7,27,"CAN"
"22",5250000,"92-06-25","Wilcox","CAN","CAN",70,188,2010,1,14,"L","Schwartz","Jaden","LW/C","STL",78,19,36,24,12,55,"CAN"
"23",925000,"96-05-01","Calgary","CAN","SWE",72,190,2014,1,8,"R","Nylander","William","C/RW","TOR",81,22,39,23,16,61,"Others"
"25",717500,"96-11-26","Colorado Springs","USA","USA",77,203,2015,2,37,"R","Carlo","Brandon","D","BOS",82,6,10,3,7,16,"USA"
"26",925000,"96-05-25","Havirov","CZE","CZE",72,181,2014,1,25,"R","Pastrnak","David","RW/LW","BOS",75,34,36,22,14,70,"Others"
"27",9e+05,"98-03-14","St. Albert","CAN","CAN",71,191,2016,1,10,"L","Jost","Tyson","C/LW/RW","COL",6,1,0,0,0,1,"CAN"
"28",3750000,"88-05-28","Sherbrooke","CAN","CAN",72,200,2007,1,26,"R","Perron","David","LW/RW","STL",82,18,28,16,12,46,"CAN"
"29",792500,"94-03-23","Boden","SWE","SWE",75,209,2012,3,81,"R","Sundqvist","Oskar","C","PIT",10,0,0,0,0,0,"Others"
"31",6e+06,"91-08-22","Saskatoon","CAN","CAN",73,195,2009,1,5,"L","Schenn","Brayden","C/LW","PHI",79,25,30,17,13,55,"CAN"
"32",5500000,"92-03-20","South St.Paul","USA","USA",72,215,2010,2,37,"R","Faulk","Justin","D","CAR",75,17,20,11,9,37,"USA"
"33",724500,"92-10-26","Toronto","CAN","CAN",72,192,2011,3,65,"L","Cramarossa","Joseph","C/LW","ANA/VAN",59,4,6,3,3,10,"CAN"
"35",4e+06,"90-06-05","Prague","CZE","CZE",72,204,2010,3,66,"R","Gudas","Radko","D","PHI",67,6,17,10,7,23,"Others"
"36",8e+05,"90-09-23","Rimouski","CAN","CAN",70,206,2009,5,132,"L","Bourque","Gabriel","LW/RW","COL",6,0,0,0,0,0,"CAN"
"37",4250000,"90-06-01","Bern","CHE","CHE",73,201,2008,2,38,"L","Josi","Roman","D","NSH",72,12,37,20,17,49,"Others"
"38",742500,"94-05-01","Denver","USA","USA",74,205,2012,4,120,"L","Slavin","Jaccob","D","CAR",82,5,29,14,15,34,"USA"
"39",750000,"90-06-20","Sterling Heights","USA","USA",75,221,2008,5,128,"R","Pateryn","Greg","D","DAL/MTL",36,1,8,1,7,9,"USA"
"40",4500000,"86-08-01","Tibro","SWE","SWE",71,190,2005,7,216,"R","Stralman","Anton","D","T.B",73,5,17,8,9,22,"Others"
"41",3e+06,"92-11-12","Skellefteë","SWE","SWE",75,215,2011,1,4,"R","Larsson","Adam","D","EDM",79,4,15,3,12,19,"Others"
"42",630000,"90-05-27","Huntsville","USA","USA",74,196,2009,7,198,"R","Dowd","Nic","C","L.A",70,6,16,10,6,22,"USA"
"45",1300000,"89-04-27","Ottawa","CAN","CAN",69,160,2007,6,179,"L","Byron","Paul","LW/C/RW","MTL",81,22,21,15,6,43,"CAN"
"46",925000,"94-09-22","Stockholm","SWE","SWE",74,196,2013,1,14,"L","Wennberg","Alex","C","CBJ",80,13,46,27,19,59,"Others"
"47",7e+05,"88-02-16","Munich","DEU","DEU",75,215,2006,4,111,"R","Holzer","Korbinian","D","ANA",32,2,5,2,3,7,"Others"
"48",1200000,"92-02-18","Kosice","SVK","SVK",76,210,2010,2,46,"L","Marincin","Martin","D","TOR",25,1,6,2,4,7,"Others"
"49",925000,"97-01-13","Yaroslavl","RUS","RUS",73,201,2015,1,7,"L","Provorov","Ivan","D","PHI",82,6,24,15,9,30,"Others"
"50",925000,"97-06-23","Mt. Brydges","CAN","CAN",76,220,2015,1,11,"L","Crouse","Lawson","LW","ARI",72,5,7,5,2,12,"CAN"
"51",6e+06,"88-09-10","Thunder Bay","CAN","CAN",76,220,2006,1,2,"L","Staal","Jordan","C/LW","CAR",75,16,29,11,18,45,"CAN"
"52",950000,"83-10-19","Unity","CAN","CAN",72,200,2002,1,17,"R","Gordon","Boyd","C/RW","PHI",13,1,0,0,0,1,"CAN"
"53",2500000,"94-12-02","Boden","SWE","SWE",73,192,2013,1,5,"R","Lindholm","Elias","C/RW","CAR",72,11,34,29,5,45,"Others"
"54",1050000,"91-03-23","Pori","FIN","FIN",72,193,2009,7,182,"L","Haula","Erik","C/LW","MIN",72,15,11,7,4,26,"Others"
"55",792500,"95-03-14","Molnlycke","SWE","SWE",72,201,2013,6,180,"L","Blidh","Anton","LW","BOS",19,1,1,1,0,2,"Others"
"57",4750000,"85-10-12","Malm_","SWE","SWE",75,210,2004,2,49,"L","Soderberg","Carl","C/LW","COL",80,6,8,4,4,14,"Others"
"58",925000,"93-02-10","Edmonton","CAN","CAN",74,194,2011,4,92,"L","Simpson","Dillon","D","EDM",3,0,0,0,0,0,"CAN"
"59",6e+06,"90-09-20","Mississauga","CAN","CAN",73,211,2009,1,1,"L","Tavares","John","C","NYI",77,28,38,21,17,66,"CAN"
"60",925000,"98-03-02","Calgary","CAN","CAN",73,180,2016,1,8,"R","Nylander","Alex","RW/LW","BUF",4,0,1,1,0,1,"CAN"
"61",767500,"95-04-16","Cornwall","CAN","CAN",73,210,2013,2,40,"L","Elie","Remi","LW","DAL",18,1,6,2,4,7,"CAN"
"62",3500000,"89-06-05","Riverside","USA","USA",68,182,2008,6,157,"R","Atkinson","Cam","RW","CBJ",82,35,27,18,9,62,"USA"
"63",4500000,"91-03-20","Eden Prairie","USA","USA",72,199,2009,1,16,"L","Leddy","Nick","D","NYI",81,11,35,17,18,46,"USA"
"64",750000,"83-02-02","Churchill","CAN","CAN",69,195,2001,4,98,"R","Tootoo","Jordin","RW","CHI",50,2,1,0,1,3,"CAN"
"65",3100000,"87-05-02","Caroline","CAN","CAN",70,170,2005,3,67,"L","Russell","Kris","D","EDM",68,1,12,2,10,13,"CAN"
"66",2350000,"94-07-25","Regina","CAN","CAN",72,183,2012,1,7,"R","Dumba","Matt","D","MIN",76,11,23,10,13,34,"CAN"
"68",7e+05,"87-05-19","Madison","USA","USA",73,216,2005,1,7,"R","Skille","Jack","RW","VAN",55,5,4,4,0,9,"USA"
"71",650000,"96-05-27","Saskatoon","CAN","CAN",74,191,2014,4,101,"R","Nogier","Nelson","D","WPG",10,0,0,0,0,0,"CAN"
"72",2600000,"91-07-27","Laval","CAN","CAN",76,218,2009,1,30,"L","Despres","Simon","D","ANA",1,0,0,0,0,0,"CAN"
"73",667500,"95-12-12","Brooklyn","USA","USA",71,185,2014,6,171,"R","Labanc","Kevin","RW","S.J",55,8,12,10,2,20,"USA"
"75",2100000,"89-07-05","Meadow Lake","CAN","CAN",76,229,2007,4,109,"L","King","Dwight","LW/RW","L.A/MTL",80,9,7,4,3,16,"CAN"
"76",7e+06,"87-12-09","Ann Arbor","USA","USA",75,204,2006,2,45,"R","Petry","Jeff","D","MTL",80,8,20,11,9,28,"USA"
"77",667500,"94-02-07","Pittsburgh","USA","USA",72,193,2012,6,167,"R","Barber","Riley","RW","WSH",3,0,0,0,0,0,"USA"
"78",5e+06,"87-09-03","Whitby","CAN","CAN",74,221,2005,2,33,"L","Neal","James","RW/LW","NSH",70,23,18,14,4,41,"CAN"
"79",3900000,"87-07-26","Rochester Hills","USA","USA",73,212,2007,4,95,"L","Martinez","Alec","D","L.A",82,9,30,13,17,39,"USA"
"80",625000,"92-07-25","Brandon","CAN","CAN",72,202,2012,2,58,"L","Martinook","Jordan","LW/C","ARI",77,11,14,10,4,25,"CAN"
"81",2750000,"90-12-01","Ilava","SVK","SVK",70,185,2009,2,60,"L","Tatar","Tomas","LW/C/RW","DET",82,25,21,12,9,46,"Others"
"82",3400000,"92-05-19","Chelyabinsk","RUS","RUS",74,192,2010,1,26,"L","Kuznetsov","Evgeny","C/LW","WSH",82,19,40,23,17,59,"Others"
"83",842500,"96-04-16","Edmonton","CAN","CAN",73,195,2014,1,30,"L","Quenneville","John","C","N.J",12,1,3,2,1,4,"CAN"
"84",5500000,"80-09-26","San Francisco","USA","USA",75,219,2000,1,18,"L","Orpik","Brooks","D","WSH",79,0,14,6,8,14,"USA"
"86",5500000,"87-02-25","Muskegon","USA","USA",74,218,2005,2,42,"L","Abdelkader","Justin","LW/RW","DET",64,7,14,9,5,21,"USA"
"88",5750000,"88-05-24","Yaroslavl","RUS","RUS",76,198,2006,2,54,"L","Anisimov","Artem","C/LW","CHI",64,22,23,12,11,45,"Others"
"89",715000,"93-09-08","Lansing","USA","USA",70,195,2011,4,99,"L","Boucher","Reid","C/LW","N.J/NSH/VAN",39,6,4,3,1,10,"USA"
"90",925000,"98-03-31","Boca Raton","USA","USA",75,200,2016,1,16,"L","Chychrun","Jakob","D","ARI",68,7,13,5,8,20,"USA"
"91",3250000,"85-02-19","Port McNeill","CAN","CAN",76,216,2004,3,79,"L","Stoner","Clayton","D","ANA",14,1,2,1,1,3,"CAN"
"92",925000,"96-02-07","Windsor","CAN","CAN",76,216,2014,1,1,"R","Ekblad","Aaron","D","FLA",68,10,11,4,7,21,"CAN"
"93",825000,"91-10-07","Hinsdale","USA","CAN",75,215,2011,6,160,"R","Manson","Josh","D","ANA",82,5,12,4,8,17,"CAN"
"94",3575000,"89-03-17","Vasteras","SWE","SWE",73,199,2007,1,24,"L","Backlund","Mikael","C","CGY",81,22,31,21,10,53,"Others"
"95",6e+05,"92-02-25","Orland Park","USA","USA",68,165,2011,3,66,"R","Tynan","T.J.","C/RW","CBJ",3,0,0,0,0,0,"USA"
"96",5850000,"86-04-29","Anchorage","USA","USA",74,218,2004,2,60,"L","Dubinsky","Brandon","C/LW","CBJ",80,12,29,21,8,41,"USA"
"97",750000,"92-03-09","Wheaton","USA","USA",72,187,2011,7,204,"L","Dzingel","Ryan","LW/RW/C","OTT",81,14,18,13,5,32,"USA"
"99",660000,"95-09-24","Winnipeg","CAN","CAN",76,213,2014,3,73,"R","Lernout","Brett","D","MTL",2,0,0,0,0,0,"CAN"
"100",3e+06,"88-01-05","Drummondville","CAN","CAN",70,188,2006,6,177,"L","Perreault","Mathieu","C/LW","WPG",65,13,32,18,14,45,"CAN"
"101",2500000,"86-12-20","Kindersley","CAN","CAN",72,192,2006,7,189,"R","Dorsett","Derek","RW","VAN",14,1,3,2,1,4,"CAN"
"102",8e+05,"90-09-12","Burnaby","CAN","CAN",77,202,2008,2,42,"L","Wiercioch","Patrick","D","COL",57,4,8,3,5,12,"CAN"
"103",925000,"96-02-23","Madison","USA","USA",72,177,2014,1,20,"R","Schmaltz","Nick","C/LW","CHI",61,6,22,16,6,28,"USA"
"104",13800000,"88-11-19","Buffalo","USA","USA",71,177,2007,1,1,"L","Kane","Patrick","RW/C","CHI",82,34,55,36,19,89,"USA"
"105",3500000,"91-04-01","Toronto","CAN","CAN",72,185,2009,3,69,"L","Smith","Reilly","RW/C/LW","FLA",80,15,22,9,13,37,"CAN"
"106",7e+06,"85-01-01","London","CAN","CAN",75,217,2003,1,11,"R","Carter","Jeff","C/RW","L.A",82,32,34,22,12,66,"CAN"
"107",6e+06,"84-07-11","Plover","USA","USA",71,190,2003,7,205,"R","Pavelski","Joe","C/RW","S.J",81,29,39,23,16,68,"USA"
"108",925000,"97-12-11","Scottsdale","USA","USA",74,202,2016,1,6,"L","Tkachuk","Matthew","LW","CGY",76,13,35,25,10,48,"USA"
"109",727500,"95-05-15","St. Petersburg","RUS","RUS",73,224,2013,2,37,"R","Zykov","Valentin","LW","CAR",2,1,0,0,0,1,"Others"
"110",2500000,"83-02-04","West Seneca","USA","USA",71,195,2003,5,148,"R","Stempniak","Lee","RW","CAR",82,16,24,13,11,40,"USA"
"111",1e+06,"89-11-02","Saskatoon","CAN","CAN",74,229,2008,1,5,"R","Schenn","Luke","D","ARI",78,1,7,2,5,8,"CAN"
"112",7e+05,"89-07-25","Toronto","CAN","CAN",76,225,2007,6,172,"L","Gazdic","Luke","LW","N.J",11,0,0,0,0,0,"CAN"
"115",925000,"97-09-17","Scottsdale","USA","USA",75,216,2016,1,1,"L","Matthews","Auston","C","TOR",82,40,29,20,9,69,"USA"
"116",7450000,"89-12-08","London","CAN","CAN",73,195,2008,1,2,"R","Doughty","Drew","D","L.A",82,12,32,16,16,44,"CAN"
"117",5400000,"94-10-27","Turku","FIN","FIN",76,203,2013,1,8,"R","Ristolainen","Rasmus","D","BUF",79,6,39,17,22,45,"Others"
"118",750000,"95-03-22","Delta","CAN","CAN",69,179,2013,2,43,"L","Petan","Nic","LW/C","WPG",54,1,12,8,4,13,"CAN"
"119",575000,"92-10-14","St. Louis","USA","USA",76,224,2011,2,34,"R","Mayfield","Scott","D","NYI",25,2,7,3,4,9,"USA"
"120",925000,"96-05-10","Syracuse","USA","USA",76,222,2014,1,18,"R","Tuch","Alex","RW","MIN",6,0,0,0,0,0,"USA"
"121",925000,"93-07-13","Chicago","USA","USA",74,193,2011,4,98,"L","Reilly","Mike","D","MIN",17,1,0,0,0,1,"USA"
"125",725000,"87-03-15","Moorhead","USA","USA",74,190,2005,4,97,"L","VandeVelde","Chris","C/LW","PHI",81,6,9,3,6,15,"USA"
"126",3e+06,"90-05-24","Borlange","SWE","SWE",76,215,2009,4,102,"L","Ekholm","Mattias","D","NSH",82,3,20,6,14,23,"Others"
"128",3e+06,"86-10-12","Charlottetown","CAN","CAN",76,212,2005,2,55,"R","Mcquaid","Adam","D","BOS",77,2,8,4,4,10,"CAN"
"130",575000,"88-06-04","Pittsburgh","USA","USA",73,196,2008,7,190,"L","Bartkowski","Matt","D","CGY",24,1,1,0,1,2,"USA"
"131",6e+05,"89-11-01","Paris","CAN","CAN",74,199,2008,2,45,"R","Dalpe","Zac","C","MIN",9,1,2,0,2,3,"CAN"
"132",4e+06,"72-02-15","Kladno","CZE","CZE",75,230,1990,1,5,"L","Jagr","Jaromir","RW","FLA",82,16,30,20,10,46,"Others"
"133",575000,"87-01-01","Taber","CAN","CAN",72,205,2005,1,8,"R","Setoguchi","Devin","RW","L.A",45,4,8,4,4,12,"CAN"
"135",735000,"92-11-05","Long Beach","USA","USA",71,190,2011,2,47,"L","Nieto","Matt","LW/RW","COL/S.J",59,7,6,3,3,13,"USA"
"138",8e+05,"92-11-16","Rochester","USA","USA",71,185,2011,2,61,"L","Prince","Shane","LW/C","NYI",50,5,13,7,6,18,"USA"
"139",925000,"95-04-08","Northbrook","USA","USA",72,193,2013,2,35,"R","Compher","J.T.","LW/C","COL",21,3,2,1,1,5,"USA"
"140",4e+06,"83-04-01","Kalajoki","FIN","FIN",71,198,2001,6,192,"L","Jokinen","Jussi","LW/RW/C","FLA",69,11,17,11,6,28,"Others"
"141",5750000,"92-10-27","Pittsburgh","USA","USA",73,206,2011,2,43,"L","Saad","Brandon","LW/RW","CBJ",82,24,29,18,11,53,"USA"
"143",7250000,"87-04-24","Montreal","CAN","CAN",72,201,2005,3,62,"R","Letang","Kris","D","PIT",41,5,29,9,20,34,"CAN"
"144",3500000,"80-02-10","Montreal","CAN","CAN",72,179,1998,2,45,"L","Ribeiro","Mike","C","NSH",46,4,21,10,11,25,"CAN"
"145",575000,"90-05-30","Marshfield","USA","USA",69,170,2008,4,95,"L","Warsofsky","David","D","PIT",7,0,1,1,0,1,"USA"
"146",10900000,"87-08-07","Cole Harbour","CAN","CAN",71,200,2005,1,1,"L","Crosby","Sidney","C","PIT",75,44,45,28,17,89,"CAN"
"147",667500,"97-01-02","Sault Ste. Marie","CAN","CAN",71,185,2015,3,67,"R","Speers","Blake","C","N.J",3,0,0,0,0,0,"CAN"
"148",832500,"95-02-04","Hamilton","CAN","CAN",76,220,2013,1,7,"L","Nurse","Darnell","D","EDM",44,5,6,2,4,11,"CAN"
"149",8e+06,"91-12-13","Yaroslavl","RUS","RUS",72,219,2010,1,16,"L","Tarasenko","Vladimir","RW","STL",82,39,36,18,18,75,"Others"
"150",692500,"95-08-02","Zilina","SVK","SVK",74,202,2013,3,90,"L","Cehlarik","Peter","LW/RW","BOS",11,0,2,1,1,2,"Others"
"151",3500000,"84-10-29","Thunder Bay","CAN","CAN",76,208,2003,1,2,"L","Staal","Eric","C","MIN",82,28,37,24,13,65,"CAN"
"152",9e+05,"92-04-20","Swan River","CAN","CAN",74,208,2010,5,133,"L","Ferland","Micheal","LW/RW","CGY",76,15,10,6,4,25,"CAN"
"154",6e+05,"91-05-17","Pickering","CAN","CAN",73,210,2011,3,80,"L","Andreoff","Andy","LW/C","L.A",36,0,2,2,0,2,"CAN"
"155",705000,"94-01-07","Ottawa","CAN","CAN",72,212,2013,7,206,"R","Weegar","Mackenzie","D","FLA",3,0,0,0,0,0,"CAN"
"156",9e+05,"96-10-31","Stockholm","SWE","SWE",73,184,2015,2,45,"R","Forsbacka Karlsson","Jakob","C","BOS",1,0,0,0,0,0,"Others"
"157",8e+06,"84-06-16","Brampton","CAN","CAN",76,212,2002,1,1,"L","Nash","Rick","RW/LW","NYR",67,23,15,13,2,38,"CAN"
"158",4e+06,"90-06-07","Winnipeg","CAN","CAN",75,210,2008,3,69,"R","Stone","Michael","D","ARI/CGY",64,3,12,6,6,15,"CAN"
"159",575000,"90-05-18","Roseau","USA","USA",70,184,2008,2,40,"L","Ness","Aaron","D","WSH",2,0,0,0,0,0,"USA"
"162",740000,"95-08-04","Ottawa","CAN","CAN",73,206,2013,3,69,"R","Baptiste","Nicholas","RW","BUF",14,3,1,0,1,4,"CAN"
"164",667500,"96-03-13","Calgary","CAN","CAN",70,166,2014,3,79,"R","Point","Brayden","C","T.B",68,18,22,8,14,40,"CAN"
"165",4e+06,"86-09-29","Alfred","CAN","CAN",75,204,2005,1,4,"L","Pouliot","Benoit","LW","EDM",67,8,6,5,1,14,"CAN"
"166",7e+05,"91-07-17","Wakaw","CAN","CAN",72,189,2009,4,96,"R","Vey","Linden","RW/C","CGY",4,0,0,0,0,0,"CAN"
"167",7e+06,"90-05-31","Landsbro","SWE","SWE",72,191,2008,1,15,"R","Karlsson","Erik","D","OTT",77,17,54,25,29,71,"Others"
"168",5e+06,"91-06-03","Jyv_skyl_","FIN","FIN",70,183,2009,4,106,"R","Vatanen","Sami","D","ANA",71,3,21,9,12,24,"Others"
"169",9e+06,"87-10-02","Madison","USA","USA",72,202,2006,1,5,"R","Kessel","Phil","RW/C","PIT",82,23,47,25,22,70,"USA"
"170",925000,"95-12-30","Moscow","RUS","RUS",74,190,2014,1,26,"L","Scherbak","Nikita","RW","MTL",3,1,0,0,0,1,"Others"
"171",4e+06,"93-03-01","Leksand","SWE","SWE",74,200,2011,2,42,"L","Rask","Victor","C","CAR",82,16,29,11,18,45,"Others"
"172",6e+05,"95-04-10","Herning","DNK","DNK",72,175,2013,3,89,"R","Bjorkstrand","Oliver","RW","CBJ",26,6,7,4,3,13,"Others"
"174",925000,"95-04-20","New Haven","USA","USA",73,214,2013,2,33,"L","Erne","Adam","LW","T.B",26,3,0,0,0,3,"USA"
"176",832500,"94-01-09","Vitkov","CZE","CZE",75,210,2012,1,13,"L","Faksa","Radek","C","DAL",80,12,21,13,8,33,"Others"
"177",2950000,"87-01-23","Narva","EST","FIN",71,210,2006,6,180,"L","Komarov","Leo","C/LW","TOR",82,14,18,11,7,32,"Others"
"178",4250000,"93-06-17","Maykop","RUS","RUS",71,178,2011,2,58,"L","Kucherov","Nikita","RW","T.B",74,40,45,28,17,85,"Others"
"179",875000,"94-11-09","Salem","USA","USA",76,203,2013,2,61,"L","Sanford","Zach","LW","STL/WSH",39,4,4,1,3,8,"USA"
"180",625000,"93-01-04","Wallaceburg","CAN","CAN",69,191,2012,5,131,"R","Griffith","Seth","C/RW","FLA/TOR",24,0,5,4,1,5,"CAN"
"182",625000,"88-09-24","Ann Arbor","USA","USA",71,192,2007,4,93,"R","Kampfer","Steven","D","FLA/NYR",11,1,1,1,0,2,"USA"
