"","Salary","Born","City","Cntry","Nat","Ht","Wt","DftYr","DftRd","Ovrl","Hand","Last.Name","First.Name","Position","Team","GP","G","A","A1","A2","PTS","Nat_Group"
"184",2500000,"91-10-15","Warroad","USA","USA",75,206,2010,1,30,"L","Nelson","Brock","C/LW","NYI",81,20,25,14,11,45,"USA"
"186",9e+05,"92-02-08","Stockholm","SWE","SWE",75,215,2010,2,41,"L","Nemeth","Patrik","D","DAL",40,0,3,2,1,3,"Others"
"187",1050000,"91-04-24","Sundsvall","SWE","SWE",72,184,2009,2,40,"L","Lander","Anton","C/LW/RW","EDM",22,1,3,1,2,4,"Others"
"188",1100000,"92-01-30","Ottawa","CAN","CAN",70,184,2010,2,45,"L","Spooner","Ryan","C/LW","BOS",78,12,28,14,14,39,"CAN"
"189",925000,"96-08-17","New Westminster","CAN","CAN",73,229,2014,1,6,"R","Virtanen","Jake","RW","VAN",10,0,1,0,1,1,"CAN"
"190",650000,"92-05-01","De Pere","USA","USA",71,188,2011,6,171,"L","McCormick","Max","RW/LW/C","OTT",7,0,0,0,0,0,"USA"
"191",3850000,"91-05-24","Winnipeg","CAN","CAN",72,190,2009,3,85,"L","Eakin","Cody","C","DAL",60,3,9,7,2,12,"CAN"
"192",9e+06,"84-07-28","Minneapolis","USA","USA",71,196,2003,1,17,"L","Parise","Zach","LW","MIN",69,19,23,17,6,42,"USA"
"193",925000,"97-02-25","Burnsville","USA","USA",73,191,2015,1,23,"R","Boeser","Brock","RW","VAN",9,4,1,1,0,5,"USA"
"194",7e+05,"90-12-04","Vaughan","CAN","CAN",70,193,2009,5,147,"L","Varone","Phil","C","OTT",7,0,0,0,0,0,"CAN"
"196",925000,"94-11-30","Eisenstadt","AUT","SVK",71,212,2013,1,27,"L","Dano","Marko","C/LW/RW","WPG",38,4,7,3,4,11,"Others"
"197",4250000,"89-09-01","Halmstad","SWE","SWE",71,184,2008,4,121,"L","Nyquist","Gustav","RW/C/LW","DET",76,12,36,22,14,48,"Others"
"198",667500,"94-08-08","Prague","CZE","CZE",71,176,2015,5,137,"L","Simon","Dominik","C","PIT",2,0,1,1,0,1,"Others"
"199",8e+06,"84-05-01","Minneapolis","USA","USA",75,221,2003,2,62,"R","Backes","David","RW/C","BOS",74,17,21,12,9,38,"USA"
"201",3650000,"89-10-06","Edmonton","CAN","CAN",69,175,2008,1,26,"L","Ennis","Tyler","LW/C/RW","BUF",51,5,8,5,3,13,"CAN"
"202",3750000,"92-12-07","Phoenix","USA","CAN",75,211,2011,1,8,"L","Couturier","Sean","C","PHI",66,14,20,10,10,34,"CAN"
"203",6075000,"82-02-14","Trencin","SVK","SVK",73,205,2000,1,3,"L","Gaborik","Marian","RW","L.A",56,10,11,9,2,21,"Others"
"204",950000,"90-02-23","Edmonton","CAN","CAN",74,205,2009,3,83,"L","Connauton","Kevin","D","ARI",24,0,1,1,0,1,"CAN"
"205",925000,"96-09-13","Kramfors","SWE","SWE",74,202,2014,1,29,"L","Kempe","Adrian","LW/C","L.A",25,2,4,3,1,6,"Others"
"206",2750000,"82-04-03","Edmonton","CAN","CAN",74,214,2000,6,194,"R","Engelland","Deryk","D","CGY",81,4,12,6,6,16,"CAN"
"207",5e+06,"81-03-05","Minneapolis","USA","USA",73,200,2000,2,62,"L","Martin","Paul","D","S.J",81,4,22,5,17,26,"USA"
"208",5e+06,"87-11-12","Edmonton","CAN","CAN",72,191,2006,1,12,"R","Little","Bryan","C/RW","WPG",59,21,26,16,10,47,"CAN"
"209",1.1e+07,"89-05-13","Toronto","CAN","CAN",72,210,2007,2,43,"R","Subban","P.K.","D","NSH",66,10,30,13,17,40,"CAN"
"210",6e+05,"93-04-27","Brampton","CAN","CAN",77,212,2011,7,191,"L","Graovac","Tyler","C","MIN",52,7,2,1,1,9,"CAN"
"211",6e+06,"88-03-21","Bloomington","USA","USA",76,225,2006,1,1,"R","Johnson","Erik","D","COL",46,2,15,7,8,17,"USA"
"212",950000,"91-02-22","Prague","CZE","CZE",75,200,2009,3,75,"L","Nestrasil","Andrej","C/RW/LW","CAR",19,1,4,3,1,5,"Others"
"213",775000,"92-06-16","Long Beach","USA","USA",73,212,2010,1,29,"L","Etem","Emerson","LW/RW","ANA",3,0,0,0,0,0,"USA"
"214",1700000,"92-10-05","Bern","CHE","CHE",71,192,2011,1,13,"L","Baertschi","Sven","LW","VAN",68,18,17,8,9,35,"Others"
"215",1025000,"84-02-17","Dover","USA","USA",74,183,2003,6,186,"L","Miller","Drew","LW/RW","DET",55,5,2,1,1,7,"USA"
"216",925000,"95-12-05","Orangeville","CAN","CAN",74,232,2014,1,10,"L","Ritchie","Nick","LW","ANA",77,14,14,8,6,28,"CAN"
"217",5400000,"83-03-12","Turku","FIN","FIN",75,215,2001,1,6,"L","Koivu","Mikko","C","MIN",80,18,40,14,26,58,"Others"
"218",7875000,"84-08-31","Livonia","USA","USA",74,202,2003,1,23,"R","Kesler","Ryan","C/RW","ANA",82,22,36,23,13,58,"USA"
"220",2e+06,"84-01-04","Olomouc","CZE","CZE",70,190,2002,2,58,"L","Hudler","Jiri","RW/LW","DAL",32,3,8,5,3,11,"Others"
"221",2570000,"91-07-23","Novokuznetsk","RUS","RUS",71,212,2009,2,55,"L","Orlov","Dmitry","D","WSH",82,6,27,19,8,33,"Others"
"222",575000,"87-01-07","Owen sound","CAN","CAN",72,205,2005,4,95,"R","Bass","Cody","C","NSH",9,0,0,0,0,0,"CAN"
"223",1300000,"94-05-16","Khabarovsk","RUS","RUS",75,209,2012,1,12,"L","Grigorenko","Mikhail","C","COL",75,10,13,8,5,23,"Others"
"224",4e+06,"89-08-14","New Westminster","CAN","CAN",73,190,2007,1,3,"R","Turris","Kyle","C","OTT",78,27,28,21,7,55,"CAN"
"225",925000,"97-07-19","Grosse Pointe","USA","USA",74,218,2015,1,8,"L","Werenski","Zach","D","CBJ",78,11,36,15,21,47,"USA"
"226",6e+05,"93-02-22","Langley","CAN","CAN",74,214,2011,1,18,"R","McNeill","Mark","C/RW","DAL",1,0,0,0,0,0,"CAN"
"227",1e+07,"89-08-15","Kladno","CZE","CZE",74,214,2007,1,7,"L","Voracek","Jakub","RW","PHI",82,20,41,26,15,61,"Others"
"228",925000,"97-01-02","Orebro","SWE","SWE",76,191,2015,1,29,"L","Carlsson","Gabriel","D","CBJ",2,0,1,0,1,1,"Others"
"229",3e+06,"83-12-19","Mississauga","CAN","CAN",73,195,2002,2,57,"L","Stajan","Matt","C","CGY",81,6,17,10,7,23,"CAN"
"230",832500,"94-10-13","Calgary","CAN","CAN",70,181,2013,1,24,"L","Shinkaruk","Hunter","C/LW","CGY",7,0,1,0,1,1,"CAN"
"232",9e+05,"89-05-09","Consort","CAN","CAN",73,200,2007,1,21,"R","Nash","Riley","C/RW","BOS",81,7,10,8,2,17,"CAN"
"234",832500,"95-02-09","Klagenfurt","AUT","SWE",75,205,2013,1,23,"L","Burakovsky","Andre","LW/C","WSH",64,12,23,9,14,35,"Others"
"237",625000,"93-03-12","Burnaby","CAN","CAN",74,207,2011,2,57,"L","Wotherspoon","Tyler","D","CGY",4,0,0,0,0,0,"CAN"
"238",9e+05,"80-11-11","Toronto","CAN","CAN",72,190,1999,3,94,"L","Kelly","Chris","C/LW","OTT",82,5,7,6,1,12,"CAN"
"239",5e+06,"89-06-13","St. Paul","USA","USA",73,216,2007,1,12,"L","McDonagh","Ryan","D","NYR",77,6,36,22,14,42,"USA"
"240",4500000,"91-02-01","Smithtown","USA","USA",70,185,2009,1,26,"R","Palmieri","Kyle","RW/C/LW","N.J",80,26,27,13,14,53,"USA"
"241",2900000,"91-05-09","Carp","CAN","CAN",73,197,2009,1,12,"L","de Haan","Calvin","D","NYI",82,5,20,11,9,25,"CAN"
"244",5e+06,"77-03-18","Trencin","SVK","SVK",81,250,1996,3,56,"L","Chara","Zdeno","D","BOS",75,9,19,11,9,29,"Others"
"245",5e+06,"82-04-18","Regina","CAN","CAN",74,215,2000,1,6,"L","Hartnell","Scott","LW","CBJ",78,13,24,15,9,37,"CAN"
"247",3100000,"87-06-14","Toronto","CAN","CAN",70,184,2005,1,25,"L","Cogliano","Andrew","LW/C/RW","ANA",82,16,19,10,9,35,"CAN"
"248",8e+06,"88-06-07","Vancouver","CAN","CAN",75,236,2006,2,50,"L","Lucic","Milan","LW","EDM",82,23,27,19,8,50,"CAN"
"249",6e+06,"89-03-28","Guelph","CAN","CAN",73,200,2007,1,9,"L","Couture","Logan","C/LW","S.J",73,25,27,21,6,52,"CAN"
"250",925000,"97-07-26","Rauma","FIN","FIN",71,172,2015,2,35,"L","Aho","Sebastian","RW/LW","CAR",82,24,25,12,13,49,"Others"
"251",3500000,"92-09-08","Chur","CHE","CHE",74,211,2010,1,5,"L","Niederreiter","Nino","RW","MIN",82,25,32,25,7,57,"Others"
"252",575000,"92-05-31","Shawinigan","CAN","CAN",71,198,2010,3,71,"L","Bournival","Michael","LW","T.B",19,2,1,0,1,3,"CAN"
"253",6e+06,"91-08-02","Vancouver","CAN","CAN",74,211,2009,1,4,"L","Kane","Evander","LW","BUF",70,28,15,8,7,43,"CAN"
"254",3e+06,"94-01-20","Helsingborg","SWE","SWE",75,205,2012,1,6,"L","Lindholm","Hampus","D","ANA",66,6,14,5,9,20,"Others"
"255",725000,"93-03-28","Chelyabinsk","RUS","RUS",71,191,2011,5,148,"L","Nesterov","Nikita","D","MTL/T.B",48,4,13,9,4,17,"Others"
"256",667500,"95-02-24","Sudbury","CAN","CAN",72,198,2013,2,58,"L","Bertuzzi","Tyler","LW","DET",7,0,0,0,0,0,"CAN"
"257",4250000,"89-11-29","Edmonton","CAN","CAN",69,164,2008,6,156,"R","Spurgeon","Jared","D","MIN",76,10,28,16,12,38,"CAN"
"258",6e+05,"93-02-25","Cesk_ Budejovice","CZE","CZE",72,203,2011,6,158,"L","Sedlak","Lukas","C/LW","CBJ",62,7,6,3,3,13,"Others"
"260",8e+05,"82-08-19","Summerside","CAN","CAN",72,193,2000,1,25,"L","Ott","Steve","C/LW","DET/MTL",53,3,4,2,2,7,"CAN"
"261",1e+07,"85-09-17","Moscow","RUS","RUS",75,239,2004,1,1,"R","Ovechkin","Alex","LW/RW","WSH",82,33,36,20,16,69,"Others"
"262",7e+05,"86-09-30","Toronto","CAN","CAN",72,193,2005,5,150,"L","O'Reilly","Cal","C","BUF",11,0,1,1,0,1,"CAN"
"263",5e+06,"87-01-21","St. Andrews","CAN","CAN",72,196,2005,5,132,"L","Helm","Darren","C","DET",50,8,9,3,6,17,"CAN"
"264",840000,"93-07-20","Belleville","CAN","CAN",70,188,2011,3,68,"L","Cousins","Nick","C/LW","PHI",60,6,10,5,5,16,"CAN"
"266",925000,"93-04-20","Pembroke Pines","USA","USA",71,180,2012,3,78,"L","Gostisbehere","Shayne","D","PHI",76,7,32,17,15,39,"USA"
"267",660000,"92-10-05","Glace Bay","CAN","CAN",75,202,2011,3,76,"R","Shaw","Logan","C/RW","ANA",55,3,7,4,3,10,"CAN"
"268",2075000,"91-12-07","St. Catharines","CAN","CAN",75,226,2010,1,21,"L","Sheahan","Riley","C","DET",80,2,11,5,6,13,"CAN"
"269",7e+06,"85-12-27","Quebec City","CAN","USA",72,202,2005,2,44,"L","Stastny","Paul","C","STL",66,18,22,16,6,40,"USA"
"270",5800000,"86-08-31","Plymouth","USA","USA",77,225,2004,1,5,"R","Wheeler","Blake","RW","WPG",82,26,48,33,15,74,"USA"
"271",1150000,"94-01-05","Riga","LVA","LVA",74,200,2012,1,14,"L","Girgensons","Zemgus","C/LW","BUF",75,7,9,8,1,16,"Others"
"272",925000,"96-07-30","Waterford","USA","USA",73,190,2014,1,15,"L","Larkin","Dylan","C/LW","DET",80,17,15,7,8,32,"USA"
"273",925000,"92-09-06","Grand Forks","USA","USA",74,201,2012,6,181,"R","Ladue","Paul","D","L.A",22,0,8,2,6,8,"USA"
"274",5500000,"81-01-12","Stockholm","SWE","SWE",72,194,2000,1,29,"L","Kronwall","Niklas","D","DET",57,2,11,5,6,13,"Others"
"275",2800000,"93-11-12","Praha","CZE","CZE",74,215,2012,1,17,"L","Hertl","Tomas","C/RW","S.J",49,10,12,7,5,22,"Others"
"276",4350000,"85-10-30","Milwaukee","USA","USA",74,214,2004,1,13,"R","Stafford","Drew","RW/LW","BOS/WPG",58,8,13,9,4,21,"USA"
"277",925000,"95-08-05","Anaheim","USA","USA",75,217,2013,2,31,"L","McCoshen","Ian","D","FLA",3,0,1,0,1,1,"USA"
"279",1200000,"87-10-30","Toronto","CAN","CAN",74,239,2006,1,18,"R","Stewart","Chris","RW/LW","MIN",79,13,8,4,4,21,"CAN"
"280",1300000,"81-06-11","Sudbury","CAN","CAN",71,181,1999,5,128,"L","MacKenzie","Derek","C/LW","FLA",82,6,10,7,3,16,"CAN"
"281",1300000,"92-01-02","Moscow","RUS","RUS",75,210,2011,7,205,"R","Marchenko","Alexey","D","DET/TOR",41,1,7,1,6,8,"Others"
"283",5e+06,"93-03-15","Kitchener","CAN","CAN",75,207,2011,1,7,"R","Scheifele","Mark","C","WPG",79,32,50,26,24,82,"CAN"
"284",692500,"91-11-28","Plano","USA","USA",71,200,2011,3,75,"L","Coleman","Blake","C/LW","N.J",23,1,1,1,0,2,"USA"
"285",832500,"95-03-21","Winterthur","CHE","CHE",75,210,2013,1,18,"L","Mueller","Mirco","D","S.J",4,1,1,0,1,2,"Others"
"286",775000,"87-04-27","Thunder Bay","CAN","USA",72,191,2005,2,36,"L","Chorney","Taylor","D","WSH",18,1,4,1,3,5,"USA"
"287",4250000,"90-12-18","Ornskoldsvik","SWE","SWE",78,223,2009,1,2,"L","Hedman","Victor","D","T.B",79,16,56,34,22,72,"Others"
"288",925000,"95-03-07","Bronxville","USA","USA",74,207,2013,2,42,"R","Santini","Steven","D","N.J",38,2,5,2,3,7,"USA"
"289",925000,"94-01-11","Lewisville","USA","USA",74,191,2012,2,36,"L","Kerdiles","Nicolas","LW","ANA",1,0,0,0,0,0,"USA"
"290",1e+06,"83-11-29","Regina","CAN","CAN",73,213,2003,9,265,"L","Glass","Tanner","LW","NYR",11,1,1,0,1,2,"CAN"
"292",9e+05,"92-10-29","Sault Ste. Marie","CAN","CAN",73,196,2012,5,151,"R","Miller","Colin","D","BOS",61,6,7,4,3,13,"CAN"
"293",575000,"93-05-26","Innisfil","CAN","CAN",74,205,2011,3,86,"R","Leivo","Josh","LW","TOR",13,2,8,6,2,10,"CAN"
"294",667500,"94-10-06","Omaha","USA","USA",71,180,2013,3,77,"L","Guentzel","Jake","C/LW","PIT",40,16,17,14,3,33,"USA"
"296",650000,"93-02-05","Calgary","CAN","CAN",72,195,2011,2,32,"R","Rattie","Ty","RW","CAR/STL",9,0,2,2,0,2,"CAN"
"297",1200000,"92-03-03","Edmonton","CAN","CAN",76,206,2010,2,36,"R","Petrovic","Alex","D","FLA",49,1,13,5,8,14,"CAN"
"298",667500,"92-03-06","Kingsford","USA","USA",76,212,2010,5,148,"L","Gravel","Kevin","D","L.A",49,1,6,3,3,7,"USA"
"299",667500,"97-07-29","Edmonton","CAN","CAN",73,186,2015,2,51,"L","Guhle","Brendan","D","BUF",3,0,0,0,0,0,"CAN"
"300",6e+06,"83-07-16","Winnipeg","CAN","CAN",73,192,2002,2,54,"L","Keith","Duncan","D","CHI",80,6,47,19,28,53,"CAN"
"301",925000,"96-07-22","St. Gallen","CHE","CHE",70,193,2014,1,11,"L","Fiala","Kevin","LW","NSH",54,11,5,3,2,16,"Others"
"303",8e+05,"87-02-14","Thunder Bay","CAN","CAN",71,185,2005,4,107,"L","Pyatt","Tom","LW/C","OTT",82,9,14,9,5,23,"CAN"
"304",4500000,"92-05-06","Edmonton","CAN","CAN",69,182,2010,5,147,"R","Gallagher","Brendan","RW","MTL",64,10,19,11,8,29,"CAN"
"305",925000,"95-03-10","St. Clair","USA","USA",69,188,2013,4,121,"L","Motte","Tyler","LW/C","CHI",33,4,3,3,0,7,"USA"
"306",9e+05,"98-07-29","Chesterfield","USA","USA",70,168,2016,1,7,"L","Keller","Clayton","C/LW","ARI",3,0,2,1,1,2,"USA"
"308",6e+06,"92-05-16","Toronto","CAN","CAN",71,200,2010,1,7,"L","Skinner","Jeff","LW/C/RW","CAR",79,37,26,19,7,63,"CAN"
"310",1e+06,"86-07-28","Turku","FIN","FIN",73,193,2004,1,19,"L","Korpikoski","Lauri","LW/RW","CBJ/DAL",69,8,12,9,3,20,"Others"
"311",4e+06,"77-12-11","Bern","CHE","CHE",71,191,2004,9,262,"L","Streit","Mark","D","PHI/PIT",68,6,21,6,15,27,"Others"
"312",792500,"94-01-30","Berlin","DEU","USA",69,180,2012,5,138,"R","O'Regan","Daniel","C/LW","S.J",3,1,0,0,0,1,"USA"
"313",1700000,"91-09-25","G_vle","SWE","SWE",71,186,2010,2,51,"R","Jarnkrok","Calle","C","NSH",81,15,16,7,9,31,"Others"
"314",6e+05,"88-01-04","Waltham","USA","USA",73,206,2006,3,65,"L","Strait","Brian","D","WPG",5,0,2,2,0,2,"USA"
"315",4e+06,"91-12-05","Windsor","CAN","USA",73,207,2010,1,12,"L","Fowler","Cam","D","ANA",80,11,28,12,16,39,"USA"
"316",3667000,"88-08-23","Sodertalje","SWE","SWE",71,186,2007,6,168,"L","Hagelin","Carl","LW","PIT",61,6,16,8,8,22,"Others"
"317",832500,"95-03-28","Ste-Agathe","CAN","CAN",71,188,2013,1,3,"L","Drouin","Jonathan","LW","T.B",73,21,32,17,15,53,"CAN"
"318",3e+06,"93-07-20","Karlstad","SWE","SWE",75,220,2011,1,19,"L","Klefbom","Oscar","D","EDM",82,12,26,15,11,38,"Others"
"319",5400000,"94-10-03","Arlington","USA","USA",76,220,2013,1,4,"R","Jones","Seth","D","CBJ",75,12,30,13,17,42,"USA"
"320",5e+06,"91-04-30","Boxford","USA","USA",75,228,2009,1,19,"L","Kreider","Chris","LW/C","NYR",75,28,25,18,7,53,"USA"
"321",1650000,"91-05-08","Vanier","CAN","CAN",76,215,2009,2,54,"L","Gelinas","Eric","D","COL",27,0,1,0,1,1,"CAN"
"322",792500,"94-11-15","Tarrytown","USA","USA",75,200,2013,3,66,"R","Pesce","Brett","D","CAR",82,2,18,7,11,20,"USA"
"323",925000,"95-04-30","Buffalo","USA","USA",72,190,2013,6,159,"L","Malone","Sean","C","BUF",1,0,0,0,0,0,"USA"
"325",4e+06,"89-10-20","Greenwich","USA","USA",73,221,2008,1,7,"L","Wilson","Colin","LW/C","NSH",70,12,23,17,6,35,"USA"
"326",2600000,"92-05-08","Dorchester","USA","USA",77,215,2010,1,24,"L","Hayes","Kevin","C/RW","NYR",76,17,32,18,14,49,"USA"
"327",3500000,"87-02-20","Pisek","CZE","CZE",78,226,2005,1,17,"L","Hanzal","Martin","C","ARI/MIN",71,20,19,12,7,39,"Others"
"328",925000,"95-10-24","Sewell","USA","USA",71,183,2014,1,19,"R","Deangelo","Anthony","D","ARI",39,5,9,4,5,14,"USA"
"329",575000,"93-04-06","Markham","CAN","CAN",72,192,2012,3,71,"L","Richard","Tanner","C","T.B",3,0,0,0,0,0,"CAN"
"330",620000,"92-05-11","Pontiac","USA","USA",71,192,2010,3,80,"R","Rust","Bryan","RW","PIT",57,15,13,9,4,28,"USA"
"332",3800000,"89-11-24","Kitchener","CAN","CAN",72,180,2009,5,130,"L","Hoffman","Mike","LW/C","OTT",74,26,35,24,11,61,"CAN"
"334",575000,"89-02-20","Toronto","CAN","CAN",71,174,2007,6,164,"R","Didomenico","Chris","C/RW","OTT",3,0,0,0,0,0,"CAN"
"335",575000,"93-11-05","North Vancouver","CAN","CAN",73,200,2012,2,50,"R","Sissons","Colton","C","NSH",58,8,2,2,0,10,"CAN"
"336",742500,"95-12-14","Moscow","RUS","RUS",72,180,2014,2,33,"L","Barbashev","Ivan","C","STL",30,5,7,4,3,12,"Others"
"337",5750000,"89-07-18","Victoria","CAN","CAN",74,210,2007,5,129,"L","Benn","Jamie","LW","DAL",77,26,43,26,17,69,"CAN"
"339",675000,"93-02-20","Milford","USA","USA",71,200,2011,5,129,"L","Pietila","Blake","LW/C","N.J",10,0,1,1,0,1,"USA"
"340",4050000,"90-07-04","Minnetonka","USA","USA",74,200,2008,1,17,"L","Gardiner","Jake","D","TOR",82,9,34,14,20,43,"USA"
"343",2600000,"88-04-12","Evanston","USA","USA",72,200,2008,6,177,"R","Wingels","Tommy","C/RW/LW","OTT/S.J",73,7,5,4,1,12,"USA"
"344",8e+05,"92-12-09","Edmonton","CAN","CAN",72,199,2011,1,23,"L","Morrow","Joe","D","BOS",17,0,1,1,0,1,"CAN"
"345",832500,"94-02-18","Winchester","CAN","CAN",74,193,2012,1,10,"L","Koekkoek","Slater","D","T.B",29,0,4,2,2,4,"CAN"
"346",925000,"98-05-07","Alvkarleby","SWE","FIN",76,203,2016,1,4,"R","Puljujarvi","Jesse","RW","EDM",28,1,7,7,0,8,"Others"
"347",4400000,"87-12-23","Helsinki","FIN","FIN",74,212,2008,3,65,"L","Lehtera","Jori","C","STL",64,7,15,7,8,22,"Others"
"348",2400000,"93-03-26","Dublin","USA","USA",76,212,2011,1,20,"R","Murphy","Connor","D","ARI",77,2,15,7,8,17,"USA"
"349",5e+06,"83-11-01","North York","CAN","CAN",73,200,2003,9,263,"L","Moulson","Matt","LW","BUF",81,14,18,9,9,32,"CAN"
"350",2500000,"91-01-03","Hamilton","CAN","CAN",70,180,2009,1,11,"R","Ellis","Ryan","D","NSH",71,16,22,13,9,38,"CAN"
"351",6e+05,"89-04-07","Brampton","CAN","CAN",70,195,2007,5,132,"L","Terry","Chris","LW/RW","MTL",14,2,2,1,1,4,"CAN"
"354",925000,"95-07-04","Georgetown","CAN","CAN",74,205,2013,1,29,"L","Dickinson","Jason","C","DAL",10,2,0,0,0,2,"CAN"
"355",1750000,"82-07-20","St. Agapit","CAN","CAN",73,198,2000,2,55,"L","Vermette","Antoine","C/LW","ANA",72,9,19,10,9,28,"CAN"
"356",575000,"88-07-26","Traverse City","USA","USA",74,208,2008,7,184,"R","Redmond","Zach","D","MTL",16,0,5,1,4,5,"USA"
"358",650000,"92-04-18","Ellwood City","USA","USA",76,230,2010,2,60,"R","Johns","Stephen","D","DAL",61,4,6,2,4,10,"USA"
"359",3500000,"89-05-08","Windsor","CAN","CAN",75,220,2008,5,148,"L","Martin","Matt","LW/RW","TOR",82,5,4,2,2,9,"CAN"
"360",2e+06,"87-01-08","Salt Lake City","USA","USA",73,201,2006,1,17,"R","Lewis","Trevor","C/RW/LW","L.A",82,12,12,8,4,24,"USA"
"361",1200000,"85-05-21","Warren","USA","USA",71,200,2004,7,224,"L","Hunwick","Matt","D","TOR",72,1,18,9,9,19,"USA"
"363",832500,"94-05-30","Oakville","CAN","CAN",73,190,2012,1,20,"L","Laughton","Scott","C/LW","PHI",2,0,0,0,0,0,"CAN"
