"","Salary","Born","City","Cntry","Nat","Ht","Wt","DftYr","DftRd","Ovrl","Hand","Last.Name","First.Name","Position","Team","GP","G","A","A1","A2","PTS","Nat_Group"
"707",4083300,"98-08-23","Jyv_skyl_","FIN","FIN",74,206,2012,1,22,"L","Maatta","Olli","D","PIT",55,1,6,4,2,7,"Others"
"708",692500,"97-01-21","Dublin","USA","USA",74,205,2011,5,133,"L","Kuraly","Sean","C","BOS",8,0,1,0,0,1,"USA"
"709",850000,"95-05-10","Hamilton","CAN","CAN",75,219,2009,4,120,"L","Chiarot","Ben","D","WPG",59,2,10,4,6,12,"CAN"
"710",8e+05,"93-12-01","Mississauga","CAN","CAN",73,200,2008,2,37,"R","Goloubef","Cody","D","COL",33,0,5,2,3,5,"CAN"
"711",2750000,"97-03-15","East Palestine","USA","USA",73,206,2011,1,15,"L","Miller","J.T.","LW/RW/C","NYR",82,22,34,21,13,56,"USA"
"712",725000,"95-11-02","Minneapolis","USA","USA",74,202,2010,2,31,"R","Pitlick","Tyler","RW/C","EDM",31,8,3,2,1,11,"USA"
"713",867500,"98-07-20","Ajax","CAN","CAN",73,205,2012,2,61,"L","Shore","Devin","C","DAL",82,13,20,13,7,33,"CAN"
"715",3900000,"96-04-25","Scarborough","CAN","CAN",72,201,2010,2,47,"R","Toffoli","Tyler","C/RW/LW","L.A",63,16,18,9,9,34,"CAN"
"716",9e+05,"87-10-08","Fort McMurray","CAN","CAN",72,200,2002,1,6,"L","Upshall","Scottie","RW/LW","STL",73,10,8,6,2,18,"CAN"
"718",645000,"99-11-09","Kadan","CZE","CZE",72,180,2014,7,205,"R","Kase","Ondrej","RW","ANA",53,5,10,7,3,15,"Others"
"719",832500,"98-09-12","Helsinki","FIN","FIN",71,178,2012,1,18,"L","Teravainen","Teuvo","LW/C/RW","CAR",81,15,27,12,15,42,"Others"
"720",925000,"00-07-24","Kuopio","FIN","FIN",73,185,2014,1,22,"R","Kapanen","Kasperi","RW","TOR",8,1,0,0,0,1,"Others"
"721",4250000,"94-10-07","Landskrona","SWE","SWE",73,204,2009,1,24,"L","Johansson","Marcus","LW/C/RW","WSH",82,24,34,18,16,58,"Others"
"722",6500000,"98-10-13","Brampton","CAN","CAN",75,195,2013,1,6,"L","Monahan","Sean","C","CGY",82,27,31,15,16,58,"CAN"
"723",4900000,"89-06-22","Ottawa","CAN","CAN",75,220,2003,6,168,"L","Methot","Marc","D","OTT",68,0,12,5,7,12,"CAN"
"724",925000,"99-11-07","West Vancouver","CAN","CAN",73,193,2014,1,2,"R","Reinhart","Sam","C","BUF",79,17,30,23,7,47,"CAN"
"725",1100000,"95-03-03","Stockholm","SWE","SWE",72,190,2009,1,20,"L","Josefson","Jacob","C/LW","N.J",38,1,9,3,6,10,"Others"
"726",3500000,"94-07-04","Edina","USA","USA",75,228,2009,6,152,"L","Lee","Anders","LW/C","NYI",81,34,18,11,7,52,"USA"
"727",5e+06,"95-07-27","Victoria","CAN","CAN",70,190,2009,3,64,"R","Barrie","Tyson","D","COL",74,7,31,20,11,38,"CAN"
"728",5e+06,"94-10-07","London","CAN","CAN",72,195,2009,1,7,"L","Kadri","Nazem","C","TOR",82,32,29,15,14,61,"CAN"
"729",925000,"99-02-15","Chicago","USA","USA",75,223,2013,3,74,"R","Hayden","John","LW/RW/C","CHI",12,1,3,3,0,4,"USA"
"730",5375000,"89-07-31","Grand Rapids","USA","USA",71,185,2004,2,61,"L","Goligoski","Alex","D","ARI",82,6,30,14,16,36,"USA"
"732",650000,"96-03-05","Duluth","USA","USA",76,216,2010,1,15,"L","Forbort","Derek","D","L.A",82,2,16,6,10,18,"USA"
"733",575000,"95-03-13","Winkler","CAN","CAN",72,205,2009,4,119,"R","Froese","Byron","C","T.B/TOR",6,0,0,0,0,0,"CAN"
"734",832500,"98-08-14","Surrey","CAN","CAN",76,219,2012,3,63,"L","Khaira","Jujhar","LW","EDM",10,1,0,0,0,1,"CAN"
"735",9e+06,"92-01-13","Hearst","CAN","CAN",71,185,2006,1,22,"R","Giroux","Claude","C/RW","PHI",82,14,44,23,21,58,"CAN"
"737",575000,"98-06-24","Alma","CAN","CAN",70,195,2012,5,122,"L","Hudon","Charles","LW","MTL",3,0,2,1,1,2,"CAN"
"738",1900000,"89-01-23","Oakville","CAN","CAN",73,204,2003,5,158,"L","Mitchell","John","C","COL",65,3,4,1,3,7,"CAN"
"739",3800000,"97-05-06","Sundbyberg","SWE","SWE",74,201,2011,1,30,"R","Rakell","Rickard","C/RW","ANA",71,33,18,13,5,51,"Others"
"741",3750000,"94-02-24","Montreal","CAN","CAN",75,208,2008,2,55,"L","Scandella","Marco","D","MIN",71,4,9,4,5,13,"CAN"
"742",655000,"99-01-13","Hamilton","CAN","CAN",78,222,2013,4,108,"L","Harpur","Ben","D","OTT",6,0,0,0,0,0,"CAN"
"743",3700000,"92-06-03","V_sterës","SWE","SWE",76,223,2006,1,25,"L","Berglund","Patrik","C/LW","STL",82,23,11,7,4,34,"Others"
"744",9e+05,"97-01-25","Windsor","CAN","CAN",73,205,2011,1,24,"L","Puempel","Matt","LW","NYR/OTT",40,6,3,2,1,9,"CAN"
"745",1300000,"95-08-22","Lethbridge","CAN","CAN",74,210,2010,6,162,"L","Davidson","Brandon","D","EDM/MTL",38,0,3,2,1,3,"CAN"
"746",4250000,"93-02-15","Huntington","USA","CAN",75,191,2007,1,11,"R","Sutter","Brandon","C","VAN",81,17,17,7,10,34,"CAN"
"747",1250000,"95-01-14","Ayr","CAN","CAN",74,211,2009,2,35,"L","Clifford","Kyle","LW/C","L.A",73,6,6,6,0,12,"CAN"
"748",750000,"95-07-07","Katrineholm","SWE","SWE",75,207,2011,3,79,"L","Dahlbeck","Klas","D","CAR",43,2,4,2,2,6,"Others"
"749",6750000,"97-08-14","Salem","USA","USA",69,157,2011,4,104,"L","Gaudreau","Johnny","LW","CGY",72,18,43,30,13,61,"USA"
"750",5500000,"95-07-21","Belleville","CAN","CAN",71,179,2011,5,139,"R","Shaw","Andrew","C/LW/RW","MTL",68,12,17,7,10,29,"CAN"
"752",5500000,"96-11-24","Stockholm","SWE","SWE",73,215,2011,1,2,"L","Landeskog","Gabriel","LW","COL",72,18,15,7,8,33,"Others"
"753",925000,"97-02-09","Anaheim","USA","USA",66,180,2011,2,33,"R","Grimaldi","Rocco","C","COL",4,0,1,1,0,1,"USA"
"754",575000,"91-09-29","Rome","USA","USA",77,228,2006,3,85,"L","Sestito","Tom","LW","PIT",13,0,2,1,1,2,"USA"
"755",8e+05,"94-10-02","Montreal","CAN","CAN",76,208,2009,2,38,"R","Chiasson","Alex","RW","CGY",81,12,12,5,7,24,"CAN"
"757",832500,"99-08-04","Langley","CAN","CAN",74,195,2013,1,26,"L","Theodore","Shea","D","ANA",34,2,7,6,1,9,"CAN"
"758",742500,"00-01-22","Stockholm","SWE","SWE",75,189,2014,2,40,"L","Englund","Andreas","D","OTT",5,0,0,0,0,0,"Others"
"759",1250000,"90-08-07","Trenton","USA","USA",71,188,2006,7,211,"R","Condra","Erik","RW","T.B",13,0,0,0,0,0,"USA"
"760",9e+05,"95-08-21","Tampere","FIN","FIN",75,215,2011,7,195,"L","Jokipakka","Jyrki","D","CGY/OTT",41,1,5,1,4,6,"Others"
"761",5750000,"88-11-06","Nordingra","SWE","SWE",70,180,2003,8,239,"L","Enstrom","Tobias","D","WPG",60,1,13,7,6,14,"Others"
"762",742500,"00-08-13","Orsk","RUS","RUS",74,194,2014,2,42,"L","Kamenev","Vladislav","LW/C","NSH",2,0,0,0,0,0,"Others"
"763",5e+06,"93-05-05","Middletown","USA","USA",75,210,2007,1,2,"L","van Riemsdyk","James","LW","TOR",82,29,33,17,16,62,"USA"
"765",7e+05,"98-07-02","Keswick","CAN","CAN",73,195,2012,2,55,"L","Tierney","Chris","C","S.J",80,11,12,8,4,23,"CAN"
"766",6e+06,"95-01-17","Haliburton","CAN","CAN",71,195,2009,1,3,"L","Duchene","Matt","C/LW","COL",77,18,23,14,9,41,"CAN"
"767",2e+06,"97-01-11","Landshut","DEU","DEU",71,185,2011,4,114,"L","Rieder","Tobias","RW/C","ARI",80,16,18,8,10,34,"Others"
"768",725000,"95-08-26","Loviisa","FIN","FIN",73,209,2011,7,184,"R","Pakarinen","Iiro","RW","EDM",14,2,2,1,1,4,"Others"
"769",725000,"97-04-21","Newmarket","CAN","CAN",76,211,2013,3,81,"R","Gabriel","Kurtis","RW","MIN",13,0,1,0,1,1,"CAN"
"770",2e+06,"97-07-12","Mississauga","CAN","CAN",73,199,2011,1,5,"R","Strome","Ryan","RW/C","NYI",69,13,17,10,7,30,"CAN"
"771",9e+05,"96-06-10","Toronto","CAN","CAN",73,210,2010,5,123,"R","Hyman","Zach","C/RW/LW","TOR",82,10,18,12,6,28,"CAN"
"773",5e+06,"85-12-28","Winnipeg","CAN","CAN",73,200,2001,3,95,"R","Sharp","Patrick","LW/RW/C","DAL",48,8,10,4,6,18,"CAN"
"774",950000,"96-12-29","Kosice","SVK","SVK",74,188,2011,2,35,"L","Jurco","Tomas","LW/RW","CHI/DET",29,1,0,0,0,1,"Others"
"775",7500000,"90-09-10","Boston","USA","USA",73,196,2005,4,105,"L","Yandle","Keith","D","FLA",82,5,36,19,17,41,"USA"
"776",925000,"01-01-14","Richmond Hill","CAN","CAN",73,200,2015,1,1,"L","McDavid","Connor","C","EDM",82,30,70,44,26,100,"CAN"
"777",2200000,"94-03-26","Provost","CAN","CAN",74,208,2008,3,78,"L","Bouma","Lance","C/LW/RW","CGY",61,3,4,1,3,7,"CAN"
"778",590000,"96-01-22","Landshut","DEU","DEU",74,196,2010,4,110,"L","Kuhnhackl","Tom","RW","PIT",57,4,12,7,5,16,"Others"
"779",1700000,"88-10-06","Anchorage","USA","USA",72,212,2003,6,183,"L","Thompson","Nate","C","ANA",30,1,1,0,1,2,"USA"
"780",925000,"98-05-14","Penza","RUS","RUS",74,218,2013,3,88,"R","Slepyshev","Anton","LW","EDM",41,4,6,3,3,10,"Others"
"782",5e+06,"86-06-09","Toronto","CAN","CAN",69,185,2001,2,49,"L","Cammalleri","Mike","LW/C","N.J",61,10,21,14,7,31,"CAN"
"783",6e+05,"95-09-06","Laval","CAN","CAN",77,200,2011,3,90,"R","Grenier","Alex","RW","VAN",3,0,0,0,0,0,"CAN"
"784",4e+06,"94-02-02","Houston","USA","CAN",80,229,2008,1,12,"R","Myers","Tyler","D","WPG",11,2,3,0,3,5,"CAN"
"785",6e+05,"97-05-02","London","CAN","CAN",73,195,2011,6,179,"R","Demelo","Dylan","D","S.J",25,1,7,5,2,8,"CAN"
"786",1600000,"95-01-22","Davidson","CAN","CAN",76,212,2009,3,66,"L","McNabb","Brayden","D","L.A",49,2,2,0,2,4,"CAN"
"787",925000,"00-12-10","Shelby Twp.","USA","USA",73,182,2015,1,17,"L","Connor","Kyle","LW","WPG",20,2,3,1,2,5,"USA"
"788",8e+06,"94-06-19","Hastings","USA","USA",72,196,2008,2,51,"R","Stepan","Derek","C","NYR",81,17,38,24,14,55,"USA"
"789",8e+06,"89-03-28","Roseau","USA","USA",77,260,2003,8,245,"R","Byfuglien","Dustin","D/RW","WPG",80,13,39,20,19,52,"USA"
"790",625000,"96-05-01","Morristown","USA","USA",72,202,2010,5,140,"L","Agostino","Kenny","LW","STL",7,1,2,2,0,3,"USA"
"791",925000,"93-02-23","Red Deer","CAN","CAN",75,195,2007,7,205,"R","Postma","Paul","D","WPG",65,1,13,7,6,14,"CAN"
"793",4e+06,"97-06-05","Saint-Jerome","CAN","CAN",73,188,2011,1,3,"L","Huberdeau","Jonathan","LW/C","FLA",31,10,16,9,7,26,"CAN"
"794",812500,"96-01-03","Vantaa","FIN","FIN",70,185,2010,4,111,"R","Pulkkinen","Teemu","LW","ARI/MIN",13,2,0,0,0,2,"Others"
"795",8e+05,"97-08-14","Gaspe","CAN","CAN",73,198,2012,4,101,"L","Paquette","Cedric","C/LW","T.B",58,4,6,3,3,10,"CAN"
"796",925000,"97-07-07","Massapequa","USA","USA",76,207,2011,5,151,"L","O'Gara","Rob","D","BOS",3,0,0,0,0,0,"USA"
"797",3e+06,"90-03-16","RËdovre","DNK","DNK",73,194,2004,9,287,"R","Hansen","Jannik","RW","S.J/VAN",43,8,12,10,2,20,"Others"
"798",2250000,"89-02-05","Belleville","CAN","CAN",72,197,2003,5,163,"L","Richardson","Brad","RW/C","ARI",16,5,4,1,3,9,"CAN"
"799",2500000,"94-01-31","Calgary","CAN","CAN",77,221,2008,1,16,"L","Colborne","Joe","C/LW/RW","COL",62,4,4,4,0,8,"CAN"
"800",2500000,"98-02-27","Rochester","USA","USA",75,202,2012,1,9,"R","Trouba","Jacob","D","WPG",60,8,25,10,15,33,"USA"
"801",4250000,"88-03-03","Karlskrona","SWE","SWE",76,220,2002,9,291,"L","Ericsson","Jonathan","D","DET",51,1,8,4,4,9,"Others"
"802",635000,"97-06-17","Bobcaygeon","CAN","CAN",76,230,2012,7,193,"L","Austin","Brady","D","BUF",5,0,0,0,0,0,"CAN"
"803",3350000,"96-07-18","Minneapolis","USA","USA",78,218,2010,1,19,"R","Bjugstad","Nick","C","FLA",54,7,7,3,4,14,"USA"
"804",2650000,"91-08-09","Sicamous","CAN","CAN",77,224,2005,3,79,"R","Franson","Cody","D","BUF",68,3,16,6,10,19,"CAN"
"805",640000,"01-01-19","Olten","CHE","CHE",69,177,2015,4,102,"R","Malgin","Denis","C","FLA",47,6,4,1,3,10,"Others"
"806",6e+05,"97-01-14","Mississauga","CAN","CAN",76,211,2011,2,55,"R","Sproul","Ryan","D","DET",27,1,6,4,2,7,"CAN"
"807",4500000,"86-12-14","Smithers","CAN","CAN",73,200,2001,1,12,"L","Hamhuis","Dan","D","DAL",79,1,15,7,8,16,"CAN"
"808",2e+06,"87-07-20","Izhevsk","RUS","RUS",74,221,2001,2,40,"L","Tyutin","Fedor","D","COL",69,1,12,1,11,13,"Others"
"809",1250000,"94-03-14","Kingsville","CAN","CAN",75,229,2010,6,154,"R","Prout","Dalton","D","CBJ/N.J",29,0,6,2,4,6,"CAN"
"810",6e+05,"95-08-18","Whittier","USA","USA",72,190,2009,6,180,"R","Callahan","Mitch","RW","DET",4,0,0,0,0,0,"USA"
"811",742500,"00-10-28","Malm_","SWE","SWE",73,214,2015,2,53,"R","Andersson","Rasmus","D","CGY",1,0,0,0,0,0,"Others"
"812",575000,"96-08-28","Gallivare","SWE","SWE",75,200,2010,4,116,"R","Granberg","Petter","D","NSH",10,0,0,0,0,0,"Others"
"813",2e+06,"89-09-08","Winkler","CAN","CAN",76,212,2003,1,18,"R","Fehr","Eric","C/RW","PIT/TOR",53,6,5,3,2,11,"CAN"
"814",6e+06,"97-04-13","Burnaby","CAN","CAN",72,196,2011,1,1,"L","Nugent-Hopkins","Ryan","C","EDM",82,18,25,14,11,43,"CAN"
"815",925000,"98-12-02","Boras","SWE","SWE",75,195,2013,2,46,"L","Olofsson","Gustav","D","MIN",13,0,3,0,3,3,"Others"
"816",9250000,"89-05-11","Regina","CAN","CAN",76,221,2003,1,19,"R","Getzlaf","Ryan","C","ANA",74,15,58,38,20,73,"CAN"
"817",875000,"95-02-08","Martin","SVK","SVK",73,208,2009,2,52,"L","Panik","Richard","RW/LW","CHI",82,22,22,12,9,44,"Others"
"818",9500000,"94-02-08","Markham","CAN","CAN",73,194,2008,1,1,"R","Stamkos","Steven","C","T.B",17,9,11,9,2,20,"CAN"
"819",3750000,"85-10-02","Stockholm","SWE","SWE",72,195,2001,7,221,"L","Oduya","Johnny","D","CHI/DAL",52,2,7,3,4,9,"Others"
"820",832500,"99-03-08","Grosse Pointe","USA","USA",78,231,2013,1,25,"R","McCarron","Michael","RW/C","MTL",31,1,4,3,1,5,"USA"
"821",6e+06,"91-01-14","Thunder Bay","CAN","CAN",76,209,2005,1,12,"L","Staal","Marc","D","NYR",72,3,7,4,3,10,"CAN"
"822",7500000,"84-10-10","Njurunda","SWE","SWE",72,197,1999,7,210,"L","Zetterberg","Henrik","LW/C","DET",82,17,51,35,16,68,"Others"
"823",1e+06,"88-05-26","St. Paul","CAN","CAN",74,212,2003,7,214,"R","Brodziak","Kyle","C","STL",69,8,7,3,4,15,"CAN"
"824",925000,"97-06-20","Ham Lake","USA","USA",73,218,2013,5,148,"L","Brodzinski","Jonny","C","L.A",6,0,2,1,1,2,"USA"
"825",925000,"99-10-08","Moscow","RUS","RUS",71,185,2014,1,27,"L","Goldobin","Nikolay","RW/LW","S.J/VAN",14,3,0,0,0,3,"Others"
"826",650000,"94-09-30","Lakeville","USA","USA",69,184,2009,1,22,"R","Schroeder","Jordan","C/RW","MIN",37,6,7,4,3,13,"USA"
"829",4e+06,"88-12-08","Jindrichuv Hradec","CZE","CZE",74,225,2003,1,6,"L","Michalek","Milan","LW/RW","TOR",5,1,1,0,1,2,"Others"
"831",1e+06,"88-05-02","Calgary","CAN","USA",72,200,2003,1,29,"R","Eaves","Patrick","RW/LW","ANA/DAL",79,32,19,8,11,51,"USA"
"832",650000,"92-10-12","Snowflake","CAN","CAN",77,222,2007,4,110,"L","Falk","Justin","D","BUF",52,0,8,2,6,8,"CAN"
"834",6e+06,"95-07-18","Karlskrona","SWE","SWE",74,200,2009,1,6,"L","Ekman-Larsson","Oliver","D","ARI",79,12,27,9,18,39,"Others"
"835",6500000,"89-05-14","Winnipeg","CAN","CAN",74,185,2004,1,20,"R","Zajac","Travis","C","N.J",80,14,31,21,10,45,"CAN"
"836",850000,"96-05-03","Campbell River","CAN","CAN",75,194,2010,1,6,"R","Connolly","Brett","RW/LW","WSH",66,15,8,7,1,23,"CAN"
"838",1.1e+07,"95-02-08","Clinton","CAN","CAN",73,210,2009,2,33,"L","O'Reilly","Ryan","C/LW/RW","BUF",72,20,35,21,14,55,"CAN"
"839",675000,"99-09-06","Umea","SWE","SWE",72,176,2014,4,97,"L","Wallmark","Lucas","C","CAR",8,0,2,0,2,2,"Others"
"840",832500,"98-10-07","Dauphin","CAN","CAN",74,215,2013,1,15,"R","Pulock","Ryan","D","NYI",1,0,0,0,0,0,"CAN"
"841",925000,"99-02-09","Uppsala","SWE","SWE",74,204,2013,2,41,"L","Hagg","Robert","D","PHI",1,0,0,0,0,0,"Others"
"842",925000,"98-09-14","Hamilton","CAN","CAN",76,202,2012,1,21,"L","Jankowski","Mark","C","CGY",1,0,0,0,0,0,"CAN"
"843",2e+06,"83-05-03","Edmonton","CAN","CAN",75,216,1997,5,121,"L","Chimera","Jason","LW/RW","NYI",82,20,13,7,6,33,"CAN"
"844",1100000,"95-04-11","Toronto","CAN","CAN",72,186,2009,2,59,"L","Pirri","Brandon","RW/LW/C","NYR",60,8,10,6,4,18,"CAN"
"845",4500000,"90-12-24","Everett","USA","USA",72,189,2005,1,24,"R","Oshie","T.J.","RW/C","WSH",68,33,23,16,7,56,"USA"
"846",2125000,"92-02-20","Mississauga","CAN","CAN",76,231,2006,2,47,"L","Matthias","Shawn","LW/C","WPG",45,8,4,3,1,12,"CAN"
"847",2500000,"95-02-28","Toronto","CAN","CAN",71,201,2009,4,92,"L","Cizikas","Casey","C","NYI",59,8,17,13,4,25,"CAN"
"848",2350000,"92-04-06","Maple Creek","CAN","CAN",74,208,2008,3,79,"L","Smith","Zack","C","OTT",74,16,16,8,8,32,"CAN"
"849",725000,"90-12-16","Toronto","CAN","CAN",76,217,2005,2,43,"R","Blunden","Mike","RW","OTT",2,0,0,0,0,0,"CAN"
"850",650000,"93-08-11","London","CAN","CAN",71,200,2007,1,6,"R","Gagner","Sam","C/RW","CBJ",81,18,32,21,11,50,"CAN"
"852",742500,"98-04-06","Fribourg","CHE","CHE",70,186,2012,6,158,"R","Bertschy","Christoph","C","MIN",5,0,1,0,1,1,"Others"
"853",925000,"00-06-01","Stratford","CAN","CAN",73,198,2014,1,24,"L","McCann","Jared","C","FLA",29,1,6,6,0,7,"CAN"
"854",6e+06,"90-04-22","Ostersund","SWE","SWE",75,214,2004,3,91,"L","Edler","Alex","D","VAN",68,6,15,7,8,21,"Others"
"855",7e+06,"84-09-27","Ornskoldsvik","SWE","SWE",74,183,1999,1,3,"L","Sedin","Henrik","C","VAN",82,15,35,13,22,50,"Others"
"856",925000,"00-05-13","Massapequa","USA","USA",74,197,2014,1,16,"L","Milano","Sonny","LW","CBJ",4,0,0,0,0,0,"USA"
"857",925000,"96-04-14","Raahe","FIN","FIN",72,190,2010,4,99,"R","Donskoi","Joonas","RW","S.J",61,6,11,5,6,17,"Others"
"858",650000,"96-01-22","Winnipeg","CAN","CAN",74,189,2010,1,25,"L","Howden","Quinton","C/LW/C","WPG",5,0,0,0,0,0,"CAN"
"859",6e+05,"95-12-07","Richmond Hill","CAN","CAN",77,214,2010,3,87,"L","Melchiori","Julian","D","WPG",18,0,2,1,1,2,"CAN"
"860",767500,"00-06-13","Linkoping","SWE","SWE",72,186,2014,5,126,"L","Forsling","Gustav","D","CHI",38,2,3,2,1,5,"Others"
"861",650000,"96-04-16","North Vancouver","CAN","CAN",70,179,2010,3,70,"R","Weal","Jordan","C/LW","PHI",23,8,4,2,2,12,"CAN"
"862",1e+07,"89-05-17","Peterborough","CAN","CAN",75,210,2003,1,28,"R","Perry","Corey","RW","ANA",82,19,34,21,13,53,"CAN"
"863",6e+05,"95-09-03","Regina","CAN","CAN",71,198,2009,6,175,"R","Mitchell","Garrett","RW","WSH",1,0,0,0,0,0,"CAN"
"864",8e+05,"95-09-07","Biddeford","USA","USA",76,207,2009,2,51,"L","Dumoulin","Brian","D","PIT",70,1,14,7,7,15,"USA"
"865",575000,"98-08-07","London","CAN","CAN",74,188,2012,4,110,"L","Athanasiou","Andreas","C","DET",64,18,11,5,6,29,"CAN"
"866",925000,"01-01-26","Boston","USA","USA",75,206,2015,1,5,"L","Hanifin","Noah","D","CAR",81,4,25,16,9,29,"USA"
"867",832500,"99-03-03","Winnipeg","CAN","CAN",70,198,2013,1,12,"L","Domi","Max","LW/C","ARI",59,9,29,19,10,38,"CAN"
"868",1e+06,"80-11-03","Virginia","USA","USA",73,200,1996,2,35,"L","Cullen","Matt","C/LW","PIT",72,13,18,10,8,31,"USA"
"869",8e+06,"89-07-18","Gothenburg","SWE","SWE",74,196,2003,2,33,"L","Eriksson","Loui","LW/C","VAN",65,11,13,10,3,24,"Others"
"870",632500,"97-03-11","Kingston","CAN","CAN",74,219,2011,2,54,"L","Harrington","Scott","D","CBJ",22,1,2,0,2,3,"CAN"
"871",6e+05,"95-01-30","Denver","USA","USA",75,205,2009,2,44,"R","Shore","Drew","C","VAN",14,0,2,2,0,2,"USA"
"872",5500000,"97-06-18","Toronto","CAN","CAN",78,210,2011,1,9,"R","Hamilton","Dougie","D","CGY",81,13,37,17,20,50,"CAN"
"873",832500,"98-09-21","Hilton Head Isl.","USA","USA",72,181,2013,1,30,"R","Hartman","Ryan","LW/RW","CHI",76,19,12,8,4,31,"USA"
"874",7e+06,"91-03-18","Cherry Hill","USA","USA",74,204,2005,1,2,"R","Ryan","Bobby","RW/LW","OTT",62,13,12,8,4,25,"USA"
